Fieldwork cycle,Job name,Task name,Task sort,Planning date,Date Completed,Field rep,Region Group,Region,Site name,Address 1,Postal code,City,Province,Site Latitude,Site Longitude,Site Phone Number,Is single room site,RegionDescription,RegionForReportingDescription,Room description
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-12,2025-11-12,Marie LECONTE,NORD,Lille,Cabinet Dr Barety,10 Rue Bartholomé Masurel,59700,Marcq-en-Barœul,Hauts-de-France,50.6644,3.0869,0320445566,1,Lille 2,NORD,GEN - Dr BARETY Frederic
T425,CHEZ VOUS EN STOCK,OPE SPE,3,2025-11-19,,Marie LECONTE,NORD,Lille,Cabinet Dr Callens,45 Boulevard de la Liberté,59800,Lille,Hauts-de-France,50.6356,3.0581,0320778899,1,Lille 1,NORD,GEN - Dr CALLENS Serge
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-26,2025-11-26,Marie LECONTE,NORD,Lille,Cabinet Dr Cayet,102 Rue de la Bassée,59800,Lille,Hauts-de-France,50.6290,3.0520,0320334455,1,Lille 1,NORD,GEN - Dr CAYET Pierre
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-12-03,2025-12-03,Marie LECONTE,NORD,Lille,Cabinet Dr Cockenpot,223 Rue Pierre Mauroy,59700,Marcq-en-Barœul,Hauts-de-France,50.6830,3.0689,0320556677,1,Lille 2,NORD,GEN - Dr COCKENPOT Xavier
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-06,2025-11-06,Sophie RENARD,SUD,Lyon,Cabinet Dr Vidal,14 Rue Garibaldi,69003,Lyon,Auvergne-Rhône-Alpes,45.7573,4.8460,0472334455,1,Lyon,SUD,GEN - Dr VIDAL Claire
T425,CHEZ VOUS EN STOCK,OPE SPE,3,2025-11-13,,Sophie RENARD,SUD,Lyon,Cabinet Dr Faure,7 Cours Vitton,69006,Lyon,Auvergne-Rhône-Alpes,45.7712,4.8554,0472667788,1,Lyon,SUD,OPHT - Dr FAURE Luc
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-20,2025-11-20,Sophie RENARD,SUD,Lyon,Cabinet Dr Girard,33 Avenue Jean Jaurès,69007,Lyon,Auvergne-Rhône-Alpes,45.7456,4.8398,0472991122,1,Lyon,SUD,PEDI - Dr GIRARD Emma
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-27,2025-11-27,Sophie RENARD,SUD,Lyon,Cabinet Dr Bonnet,5 Rue de la République,69001,Lyon,Auvergne-Rhône-Alpes,45.7676,4.8340,0472223344,1,Lyon,SUD,CARD - Dr BONNET Thomas
T425,CHEZ VOUS EN STOCK,OPE SPE,3,2025-12-04,,Sophie RENARD,SUD,Lyon,Cabinet Dr Perez,88 Rue du Président Herriot,69002,Lyon,Auvergne-Rhône-Alpes,45.7601,4.8302,0472445566,1,Lyon,SUD,DERM - Dr PEREZ Marc
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-08,2025-11-08,Antoine MOREL,SUD,Marseille,Cabinet Dr Chevalier,20 Rue Paradis,13006,Marseille,Provence-Alpes-Côte d'Azur,43.2887,5.3766,0491112233,1,Marseille,SUD,PEDI - Dr CHEVALIER Laura
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-15,2025-11-15,Antoine MOREL,SUD,Marseille,Cabinet Dr Roy,8 Boulevard Baille,13005,Marseille,Provence-Alpes-Côte d'Azur,43.2912,5.3934,0491445566,1,Marseille,SUD,NEUR - Dr ROY Olivier
T425,CHEZ VOUS EN STOCK,OPE SPE,3,2025-11-22,,Antoine MOREL,SUD,Marseille,Cabinet Dr Lambert,56 Rue Saint-Ferréol,13001,Marseille,Provence-Alpes-Côte d'Azur,43.2950,5.3750,0491778899,1,Marseille,SUD,GEN - Dr LAMBERT Céline
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-29,2025-11-29,Antoine MOREL,SUD,Marseille,Cabinet Dr Brunet,12 Avenue du Prado,13008,Marseille,Provence-Alpes-Côte d'Azur,43.2803,5.3892,0491334455,1,Marseille,SUD,CARD - Dr BRUNET Nicolas
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-10,2025-11-10,Claire DUBOIS,OUEST,Bordeaux,Cabinet Dr Gauthier,18 Cours de l'Intendance,33000,Bordeaux,Nouvelle-Aquitaine,44.8412,-0.5760,0556112233,1,Bordeaux,OUEST,OPHT - Dr GAUTHIER Emma
T425,CHEZ VOUS EN STOCK,OPE SPE,3,2025-11-17,,Claire DUBOIS,OUEST,Bordeaux,Cabinet Dr Vincent,4 Rue Sainte-Catherine,33000,Bordeaux,Nouvelle-Aquitaine,44.8378,-0.5742,0556445566,1,Bordeaux,OUEST,GYNE - Dr VINCENT Charlotte
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-24,2025-11-24,Claire DUBOIS,OUEST,Bordeaux,Cabinet Dr Martinez,7 Place de la Victoire,33000,Bordeaux,Nouvelle-Aquitaine,44.8323,-0.5714,0556778899,1,Bordeaux,OUEST,NEUR - Dr MARTINEZ Antoine
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-12-01,2025-12-01,Claire DUBOIS,OUEST,Bordeaux,Cabinet Dr Blanc,30 Rue du Palais Gallien,33000,Bordeaux,Nouvelle-Aquitaine,44.8455,-0.5839,0556334455,1,Bordeaux,OUEST,GEN - Dr BLANC Louis
